Alternatiive,Bar,Weekend,Hungry,Patrons,Price,Rain,Reservation,Type,Estimate,Goal
TRUE,FALSE,FALSE,TRUE,Some,$$$,FALSE,TRUE,French,0->10,TRUE
TRUE,FALSE,FALSE,TRUE,Full,$,FALSE,FALSE,Thai,30->60,FALSE
FALSE,TRUE,FALSE,FALSE,Some,$,FALSE,FALSE,Burger,0->10,TRUE
TRUE,FALSE,TRUE,FALSE,Full,$,FALSE,FALSE,Thai,10->30,TRUE
TRUE,FALSE,TRUE,FALSE,Full,$$$,FALSE,TRUE,French,>60,FALSE
FALSE,TRUE,FALSE,TRUE,Some,$$,TRUE,TRUE,Italian,0->10,TRUE
FALSE,TRUE,FALSE,FALSE,None,$,TRUE,FALSE,Burger,0->10,FALSE
FALSE,FALSE,FALSE,FALSE,Some,$$,TRUE,TRUE,Thai,0->10,TRUE
FALSE,TRUE,TRUE,FALSE,Full,$,TRUE,FALSE,Burger,>60,FALSE
TRUE,TRUE,FALSE,TRUE,Full,$$$,FALSE,TRUE,Italian,10->30,FALSE
FALSE,FALSE,FALSE,FALSE,None,$,FALSE,FALSE,Thai,0->10,FALSE
TRUE,TRUE,TRUE,TRUE,Full,$,FALSE,FALSE,Burger,30->60,TRUE
